상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 622-61,126.9445766,37.48700144
월풀빨래방사근동점,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 사근동 301-57,127.0447558,37.5611185
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 방배동 767-5,126.9851922,37.49461078
개울가에빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중랑구 중화동 281-1,127.080062,37.6041445
연세셀피아빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 신촌동 134,126.9429168,37.56380069
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 94-5,126.8458215,37.54693407
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 공덕동 79-14,126.957355,37.54872851
동그라미빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 대방동 5-1,126.9333989,37.50570594
운동화이불뽀송뽀송빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 42-107,126.869717,37.54276818
월풀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 239-2,126.9218664,37.59341658
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 방화동 251-15,126.8151845,37.56930053
